Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Geographic Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Employed Residents Aged 15 Years and Over by Planning Area of Workplace, Usual Mode of Transport to Work and Planning Region of Residence (Census of Population 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 18/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Area of Residence,Total,Total,Total,Total,Total,Central Region,Central Region,Central Region,Central Region,Central Region,East Region,East Region,East Region,East Region,East Region,North Region,North Region,North Region,North Region,North Region,North-East Region,North-East Region,North-East Region,North-East Region,North-East Region,West Region,West Region,West Region,West Region,West Region
Planning Area of Workplace,Total,Combinations of MRT/LRT or Public Bus,Car/Taxi/Private Hire Car Only,Other Modes,No Transport Required,Total,Combinations of MRT/LRT or Public Bus,Car/Taxi/Private Hire Car Only,Other Modes,No Transport Required,Total,Combinations of MRT/LRT or Public Bus,Car/Taxi/Private Hire Car Only,Other Modes,No Transport Required,Total,Combinations of MRT/LRT or Public Bus,Car/Taxi/Private Hire Car Only,Other Modes,No Transport Required,Total,Combinations of MRT/LRT or Public Bus,Car/Taxi/Private Hire Car Only,Other Modes,No Transport Required,Total,Combinations of MRT/LRT or Public Bus,Car/Taxi/Private Hire Car Only,Other Modes,No Transport Required
Total,2177456,1257434,524915,182202,212907,472830,265695,131437,23203,52495,369922,208662,94486,31158,35616,317372,191635,57712,36203,31822,507892,296950,125783,37396,47764,509440,294491,115496,54243,45210
  Ang Mo Kio,47633,27503,13335,3515,3281,7393,4385,2583,314,112,4438,2249,1767,358,64,10377,7090,2137,1103,47,19195,9977,4883,1391,2944,6230,3801,1965,349,114
  Bedok,59224,32322,16665,6100,4137,9637,5774,3027,703,132,26406,12988,6747,2793,3878,4541,2817,1145,547,33,13660,7880,4349,1371,60,4981,2863,1397,685,35
  Bishan,28514,16237,8051,2207,2020,7252,3553,1974,443,1282,2873,1381,1215,216,60,4626,3044,964,492,125,9187,5626,2578,645,337,4578,2633,1319,410,216
  Boon Lay,19238,9770,5874,3497,98,2252,975,1041,231,6,1018,367,486,165,-,2423,1334,527,561,-,1695,701,612,369,13,11850,6392,3209,2171,79
  Bukit Batok,33475,16631,11111,2929,2805,4954,2456,2155,250,93,2165,1000,894,201,71,4060,2326,1217,467,50,3860,1778,1701,346,35,18437,9072,5143,1666,2556
  Bukit Merah,102606,65661,27386,5521,4038,32285,18016,9035,1421,3813,13763,8687,4292,748,36,10331,7187,2197,875,73,21322,14823,5706,768,25,24905,16949,6156,1709,91
  Bukit Panjang,8881,4824,1636,504,1917,626,398,213,7,9,226,110,116,-,-,1050,725,237,65,23,422,316,106,-,-,6556,3276,964,432,1885
  Bukit Timah,20951,12559,6422,1135,835,5287,2750,1788,172,577,1546,809,609,64,64,2094,1343,449,252,50,3471,2150,1153,151,18,8552,5507,2423,496,126
