,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,
Subject: Geographic Distribution,,,,,,,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,,,,,,,
Table Title: Resident Students Aged 5 Years and Over by Planning Area of Residence and Usual Mode of Transport to School (Census of Population 2020),,,,,,,,,,,,,
,,,,,,,,,,,,,
Data last updated: 18/06/2021,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,Number,
Planning Area of Residence,Total,Public Bus Only,MRT/LRT Only,MRT/LRT & Public Bus Only,Other combinations of MRT/LRT or Public Bus,Taxi/Private Hire Car Only,Car Only,Private Chartered Bus/Van Only,Lorry/Pickup Only,Motorcycle/Scooter Only,Others,No Transport Required,
Total,715209,157002,50406,164678,18766,4670,96498,44046,964,3134,6002,169044,
  Ang Mo Kio,24559,6740,1426,5523,260,95,3095,1527,27,111,221,5535,
  Bedok,43667,9837,2484,9419,791,434,8128,3615,-,63,596,8299,
  Bishan,15369,2837,1345,4010,174,118,3073,931,37,19,54,2771,
  Bukit Batok,27271,7312,1891,6463,341,141,3444,1800,120,100,93,5566,
  Bukit Merah,22017,5321,1765,4885,306,213,2867,2221,-,80,56,4303,
  Bukit Panjang,27319,6340,1863,5458,2080,102,3159,1342,46,129,143,6659,
  Bukit Timah,16698,2547,998,2383,155,227,5697,1872,-,7,141,2672,
  Choa Chu Kang,38478,6500,3090,11826,1817,201,3119,1982,77,335,170,9361,
  Clementi,15747,4368,568,2909,228,128,2990,1363,16,52,72,3054,
  Downtown Core,223,33,52,54,-,-,25,16,5,-,-,39,
  Geylang,16109,3640,1897,3926,186,84,1916,1059,10,87,139,3164,
  Hougang,36576,9819,1777,9269,538,292,4888,1612,51,153,336,7841,
  Jurong East,12359,4174,519,3384,105,53,1168,724,23,68,58,2083,
  Jurong West,51547,13306,2565,12893,875,161,5166,2211,74,351,493,13449,
  Kallang,14090,2482,1712,3785,107,113,1678,1515,-,-,99,2599,
  Marine Parade,8159,1940,229,1159,68,117,1937,927,4,-,76,1701,
  Novena,8466,1679,263,1486,62,107,2354,1047,5,-,44,1419,
  Outram,2270,389,311,472,16,14,236,245,5,5,10,567,
  Pasir Ris,29067,6691,1157,8418,438,170,4399,1569,10,166,220,5830,
  Punggol,37071,6066,2521,4844,3502,165,4992,1623,85,136,259,12879,
  Queenstown,14233,3338,1351,2789,121,119,2091,1161,9,9,140,3104,
  River Valley,1952,180,63,334,11,41,564,447,-,-,32,281,
  Sembawang,21005,2941,2933,5734,282,80,2239,871,36,104,144,5642,
  Sengkang,53458,11197,3760,8472,3683,273,5855,2506,83,192,487,16950,
  Serangoon,18855,3423,1515,5248,284,184,4014,1350,-,53,94,2690,
  Tampines,43175,11416,2897,9549,822,190,4644,3205,74,288,500,9591,
  Tanglin,4084,451,179,397,26,85,1487,728,-,3,43,685,
  Toa Payoh,18961,4215,1724,4661,147,191,2466,1080,20,100,153,4203,
  Woodlands,49665,9383,4143,14689,778,309,3428,1457,99,255,305,14819,
  Yishun,38156,7903,2837,9630,466,200,4109,1519,47,244,756,10444,
  Others,4601,531,573,609,98,61,1270,522,-,24,70,843,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,
"Notes:
Planning areas refer to areas demarcated in the Urban Redevelopment Authority’s Master Plan 2019.
Data exclude students who were overseas for more than 6 months.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,
,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,
Date generated: 27/03/2023,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,
