,,,,,,,
Theme: Population,,,,,,,
Subject: Geographic Distribution,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,
Table Title: Resident Students Aged 5 Years and Over by Planning Area of Residence and Travelling Time to School (Census of Population 2020),,,,,,,
,,,,,,,
Data last updated: 18/06/2021,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,
,,,,,,,
,,,,,,Number,
Planning Area of Residence,Total,Up to 15 mins,16 - 30 mins,31 - 45 mins,46 - 60 mins,More than 60 mins,
Total,704383,255300,203498,103269,91760,50556,
  Ang Mo Kio,24160,8652,7693,3309,3097,1409,
  Bedok,42613,15202,13157,5603,4681,3972,
  Bishan,15167,5149,5086,2424,1805,704,
  Bukit Batok,26799,8497,8794,4949,3327,1232,
  Bukit Merah,21874,7793,7026,3348,2677,1030,
  Bukit Panjang,26973,9738,7538,4122,4025,1550,
  Bukit Timah,16164,6383,6218,2235,986,341,
  Choa Chu Kang,37902,12675,9383,6879,6742,2223,
  Clementi,15471,5844,5370,2236,1569,452,
  Downtown Core,206,38,81,48,34,4,
  Geylang,15962,5362,4833,2793,1960,1014,
  Hougang,35730,12121,9674,5128,5482,3324,
  Jurong East,12232,3464,3987,2400,1729,651,
  Jurong West,50734,18917,14325,7949,6775,2769,
  Kallang,13931,4292,4456,2615,1978,589,
  Marine Parade,8047,3111,2478,1071,890,497,
  Novena,8337,2900,3106,1148,936,248,
  Outram,2265,800,782,309,257,118,
  Pasir Ris,28681,8432,7702,3913,4136,4498,
  Punggol,36689,16878,8282,4871,4390,2267,
  Queenstown,13967,5034,5444,1816,1268,405,
  River Valley,1900,594,705,390,171,39,
  Sembawang,20840,7822,5141,2975,3143,1759,
  Sengkang,52852,22275,13337,6965,6778,3497,
  Serangoon,18532,5154,6338,3067,2524,1448,
  Tampines,42676,15471,12123,5550,4725,4807,
  Tanglin,3992,1589,1624,574,194,11,
  Toa Payoh,18843,7077,5697,2792,2276,1001,
  Woodlands,48741,18089,11132,6527,7719,5275,
  Yishun,37610,14409,10195,4661,5029,3315,
  Others,4492,1537,1790,602,455,108,
,,,,,,,
,,,,,,,
Footnotes:,,,,,,,
"Notes:
Planning areas refer to areas demarcated in the Urban Redevelopment Authority’s Master Plan 2019.
Data exclude students studying from home and students who were overseas for more than 6 months.",,,,,,,
,,,,,,,
Notation:,,,,,,,
na   not available or not applicable,,,,,,,
nec  not elsewhere classified,,,,,,,
nes  not elsewhere specified,,,,,,,
 -     nil or negligible or not significant,,,,,,,
Notes,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,
,,,,,,,
Generated by: SingStat Table Builder,,,,,,,
Date generated: 27/03/2023,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,
