,OBJECTID,STN_NAME,STN_NO,X,Y,Latitude,Longitude,COLOR,IS_TERMINUS,WEEKDAY_SAT_INC_START_TIME,SUN_INC_START_TIME,INC_END_TIME,WEEKDAY_SAT_DEC_START_TIME,SUN_DEC_START_TIME,DEC_END_TIME,LINE,NUMBER,CONNECTION_ID,NEXT_STATION_NUMBER,PREV_STATION_NUMBER,MAX_CAPACITY,MIN_CAPACITY
0,12,ADMIRALTY MRT STATION,NS10,-10,41,1.440585001,103.8009982,RED,FALSE,0,0,0,0,0,0,NS,10,12,11,09,5155.321428571428,89.0
1,16,ALJUNIED MRT STATION,EW09,12,-1,1.316432612,103.882893,GREEN,FALSE,0,0,0,0,0,0,EW,09,16,10,08,2037.7142857142858,10.892857142857142
2,33,ANG MO KIO MRT STATION,NS16,3,17,1.369933175,103.8495535,RED,FALSE,0,0,0,0,0,0,NS,16,33,17,15,4617.464285714285,90.07142857142857
3,81,BAKAU LRT STATION,SE03,18,23,1.388092704,103.9054179,OTHERS,FALSE,0,0,0,0,0,0,SE,03,81,04,02,380.75,5.142857142857143
4,80,BANGKIT LRT STATION,BP09,-18,21,1.380017897,103.7726667,OTHERS,FALSE,0,0,0,0,0,0,BP,09,80,10,08,263.0,0.03571428571428571
5,153,BARTLEY MRT STATION,CC12,11,8,1.342828338,103.8797462,YELLOW,FALSE,0,0,0,0,0,0,CC,12,153,13,11,1102.3214285714287,2.6785714285714284
6,115,BAYFRONT MRT STATION,CE01,6,-12,1.281873788,103.8590733,OTHERS,FALSE,0,0,0,0,0,0,CE,01,115,02,-1,1817.392857142857,7.0
7,115,BAYFRONT MRT STATION,DT16,6,-12,1.281873788,103.8590733,BLUE,FALSE,0,0,0,0,0,0,DT,16,115,17,15,1817.392857142857,7.0
8,140,BEAUTY WORLD MRT STATION,DT05,-17,8,1.341223176,103.77581,BLUE,FALSE ,0,0,0,0,0,0,DT,05,140,06,03,1274.0357142857142,7.607142857142857
9,37,BEDOK MRT STATION,EW05,25,2,1.323979969,103.9299587,GREEN,FALSE ,0,0,0,0,0,0,EW,05,37,06,04,3309.964285714286,27.142857142857142
10,143,BEDOK NORTH MRT STATION,DT29,22,5,1.334742117,103.9179554,BLUE,FALSE,0,0,0,0,0,0,DT,29,143,30,28,805.1071428571429,8.464285714285714
11,149,BEDOK RESERVOIR MRT STATION,DT30,25,6,1.33660783,103.9322077,BLUE,FALSE,0,0,0,0,0,0,DT,30,149,31,29,891.3928571428571,6.821428571428571
12,100,BENCOOLEN MRT STATION,DT21,3,-7,1.29886427,103.8503799,BLUE,FALSE,0,0,0,0,0,0,DT,21,100,22,20,644.7857142857143,0.42857142857142855
13,99,BENDEMEER MRT STATION,DT23,7,-2,1.313672233,103.8629702,BLUE,FALSE,0,0,0,0,0,0,DT,23,99,24,22,546.7142857142857,0.32142857142857145
14,109,BISHAN MRT STATION,CC15,3,11,1.35130868,103.84915,YELLOW,FALSE,0,0,0,0,0,0,CC,15,109,16,14,4530.071428571428,25.321428571428573
15,158,BISHAN MRT STATION,NS17,3,11,1.350838988,103.8481398,RED,FALSE,0,0,0,0,0,0,NS,17,109,18,16,4530.071428571428,25.321428571428573
16,178,BOON KENG MRT STATION,NE09,6,0,1.319395706,103.861679,PURPLE,FALSE,0,0,0,0,0,0,NE,09,178,10,08,2151.3214285714284,7.392857142857143
17,34,BOON LAY MRT STATION,EW27,-36,7,1.338604054,103.7060994,GREEN,FALSE,0,0,0,0,0,0,EW,27,34,28,26,5554.25,52.5
18,185,BOTANIC GARDENS MRT STATION,CC19,-6,1,1.322110193,103.8149876,YELLOW,FALSE,0,0,0,0,0,0,CC,19,159,20,17,570.0,3.0
19,159,BOTANIC GARDENS MRT STATION,DT09,-6,1,1.322423979,103.8161362,BLUE,FALSE,0,0,0,0,0,0,DT,09,159,10,08,570.0,3.0
20,182,BRADDELL MRT STATION,NS18,2,7,1.340471684,103.8467942,RED,FALSE ,0,0,0,0,0,0,NS,18,182,19,17,1367.2142857142858,14.607142857142858
21,93,BRAS BASAH MRT STATION,CC02,3,-7,1.296861687,103.8506629,YELLOW,FALSE,0,0,0,0,0,0,CC,02,93,03,01,542.9285714285714,0.35714285714285715
22,183,BUANGKOK MRT STATION,NE15,15,22,1.382877858,103.8931042,PURPLE,FALSE ,0,0,0,0,0,0,NE,15,183,16,14,1858.0714285714287,16.821428571428573
23,103,BUGIS MRT STATION,DT14,5,-6,1.299550746,103.8568623,BLUE,FALSE ,0,0,0,0,0,0,DT,14,103,15,13,4134.642857142857,16.392857142857142
24,111,BUGIS MRT STATION,EW12,5,-6,1.300465076,103.8557007,GREEN,FALSE ,0,0,0,0,0,0,EW,12,103,13,11,4134.642857142857,16.392857142857142
25,32,BUKIT BATOK MRT STATION,NS02,-24,10,1.349034109,103.74959,RED,FALSE,0,0,0,0,0,0,NS,02,32,03,01,3306.75,37.0
26,35,BUKIT GOMBAK MRT STATION,NS03,-23,13,1.358761857,103.7519164,RED,FALSE,0,0,0,0,0,0,NS,03,35,04,02,2247.25,27.464285714285715
27,47,BUKIT PANJANG LRT STATION,BP06,-20,20,1.377909898,103.763034,OTHERS,TRUE,610,648,2820,598,636,2834,BP,06,47,07,05,4471.178571428572,45.285714285714285
28,171,BUKIT PANJANG MRT STATION,DT01,-21,20,1.379002117,103.7615559,BLUE,TRUE,660,664,2830,0,0,0,DT,01,171,02,-1,4471.178571428572,45.285714285714285
29,124,BUONA VISTA MRT STATION,CC22,-13,-4,1.306491669,103.7906645,YELLOW,FALSE,0,0,0,0,0,0,CC,22,28,23,21,2890.464285714286,10.785714285714286
30,28,BUONA VISTA MRT STATION,EW21,-13,-4,1.307183467,103.7902028,GREEN,FALSE,0,0,0,0,0,0,EW,21,28,22,20,2890.464285714286,10.785714285714286
31,127,CALDECOTT MRT STATION,CC17,0,6,1.337674508,103.8395281,YELLOW,FALSE,0,0,0,0,0,0,CC,17,127,19,16,866.6785714285714,6.321428571428571
32,192,CANBERRA MRT STATION,NS12,-2,42,1.4431,103.8297,RED,FALSE,0,0,0,0,0,0,NS,12,192,13,11,1720.3214285714287,27.821428571428573
33,172,CASHEW MRT STATION,DT02,-20,17,1.369369831,103.764714,BLUE,FALSE,0,0,0,0,0,0,DT,02,172,03,01,479.9642857142857,0.9642857142857143
34,180,CHANGI AIRPORT MRT STATION,CG02,41,13,1.357314545,103.9883212,OTHERS,FALSE,0,0,0,0,0,0,CG,02,180,-1,01,1086.0714285714287,1.9285714285714286
35,70,CHENG LIM LRT STATION,SW01,15,26,1.396277631,103.8937792,OTHERS,FALSE,0,0,0,0,0,0,SW,01,70,02,00,246.57142857142858,1.7142857142857142
36,132,CHINATOWN MRT STATION,DT19,2,-11,1.284748969,103.8444484,BLUE,FALSE,0,0,0,0,0,0,DT,19,131,20,18,4177.464285714285,8.25
37,131,CHINATOWN MRT STATION,NE04,1,-11,1.284359578,103.8434242,PURPLE,FALSE,0,0,0,0,0,0,NE,04,131,05,03,4177.464285714285,8.25
38,2,CHINESE GARDEN MRT STATION,EW25,-28,8,1.342352821,103.7326244,GREEN,FALSE,0,0,0,0,0,0,EW,25,2,26,24,1294.5357142857142,12.0
39,65,CHOA CHU KANG LRT STATION,BP01,-25,22,1.38483636,103.7445797,OTHERS,TRUE,626,664,2820,0,0,0,BP,01,65,02,-1,4404.535714285715,55.357142857142854
40,19,CHOA CHU KANG MRT STATION,NS04,-25,22,1.385361693,103.744367,RED,FALSE,0,0,0,0,0,0,NS,04,19,05,03,4404.535714285715,55.357142857142854
41,95,CITY HALL MRT STATION,EW13,4,-9,1.292936243,103.852581,GREEN,FALSE,0,0,0,0,0,0,EW,13,95,14,12,3476.5,5.642857142857143
42,95,CITY HALL MRT STATION,NS25,4,-9,1.292936243,103.852581,RED,FALSE,0,0,0,0,0,0,NS,25,95,26,24,3476.5,5.642857142857143
43,157,CLARKE QUAY MRT STATION,NE05,2,-10,1.288386024,103.8465519,PURPLE,FALSE,0,0,0,0,0,0,NE,05,157,06,04,1162.9642857142858,1.5357142857142858
44,15,CLEMENTI MRT STATION,EW23,-20,-1,1.314954492,103.7653168,GREEN,FALSE,0,0,0,0,0,0,EW,23,15,24,22,5095.071428571428,19.357142857142858
45,8,COMMONWEALTH MRT STATION,EW20,-11,-5,1.302438735,103.7983136,GREEN,FALSE,0,0,0,0,0,0,EW,20,8,21,19,1395.5,5.107142857142857
46,83,COMPASSVALE LRT STATION,SE01,17,25,1.394493046,103.9004726,OTHERS,FALSE,0,0,0,0,0,0,SE,01,83,02,00,720.0357142857143,6.464285714285714
47,55,CORAL EDGE LRT STATION,PE03,20,25,1.393909226,103.9125574,OTHERS,FALSE,0,0,0,0,0,0,PE,03,55,04,02,583.9285714285714,7.785714285714286
48,59,COVE LRT STATION,PE01,18,27,1.399281985,103.9059403,OTHERS,FALSE,0,0,0,0,0,0,PE,01,59,02,00,427.67857142857144,6.285714285714286
49,154,DAKOTA MRT STATION,CC08,14,-3,1.30838264,103.888648,YELLOW,FALSE,0,0,0,0,0,0,CC,08,154,09,07,1107.5714285714287,6.464285714285714
50,58,DAMAI LRT STATION,PE07,19,29,1.405234836,103.9085809,OTHERS,FALSE,0,0,0,0,0,0,PE,07,58,0,06,520.5714285714286,5.5
51,165,DHOBY GHAUT MRT STATION,CC01,2,-7,1.298842816,103.8462358,YELLOW,TRUE,674,730,2856,0,0,0,CC,01,144,02,-1,2706.035714285714,7.321428571428571
52,164,DHOBY GHAUT MRT STATION,NE06,2,-6,1.299705459,103.8454851,PURPLE,FALSE,0,0,0,0,0,0,NE,06,144,07,05,2706.035714285714,7.321428571428571
53,144,DHOBY GHAUT MRT STATION,NS24,2,-7,1.298701307,103.8461119,RED,FALSE,0,0,0,0,0,0,NS,24,144,25,23,2706.035714285714,7.321428571428571
54,29,DOVER MRT STATION,EW22,-16,-2,1.311405293,103.7786522,GREEN,FALSE,0,0,0,0,0,0,EW,22,29,23,21,1582.142857142857,2.4285714285714284
55,123,DOWNTOWN MRT STATION,DT17,4,-13,1.27944619,103.8528356,BLUE,FALSE,0,0,0,0,0,0,DT,17,123,18,16,1889.857142857143,0.5357142857142857
56,125,ESPLANADE MRT STATION,CC03,5,-8,1.293321608,103.8554985,YELLOW,FALSE,0,0,0,0,0,0,CC,03,125,04,02,641.0,0.2857142857142857
57,1,EUNOS MRT STATION,EW07,18,0,1.319778952,103.9032339,GREEN,FALSE,0,0,0,0,0,0,EW,07,1,08,06,1490.642857142857,12.0
58,18,EXPO MRT STATION,CG01,33,5,1.334549778,103.9615134,OTHERS,TRUE,646,700,2866,0,0,0,CG,01,18,02,-1,1489.642857142857,2.857142857142857
59,122,EXPO MRT STATION,DT35,34,6,1.335382137,103.9623407,BLUE,TRUE,0,0,0,672,708,2840,DT,35,18,-1,34,1489.642857142857,2.857142857142857
60,48,FAJAR LRT STATION,BP10,-18,22,1.384520796,103.7708268,OTHERS,FALSE,0,0,0,0,0,0,BP,10,48,11,09,451.17857142857144,21.821428571428573
61,44,FARMWAY LRT STATION,SW02,14,26,1.397170196,103.8892882,OTHERS,FALSE,0,0,0,0,0,0,SW,02,44,03,01,381.42857142857144,2.892857142857143
62,151,FARRER PARK MRT STATION,NE08,4,-2,1.31235984,103.8541717,PURPLE,FALSE,0,0,0,0,0,0,NE,08,151,09,07,2143.785714285714,5.178571428571429
63,121,FARRER ROAD MRT STATION,CC20,-8,0,1.317510612,103.8075929,YELLOW,FALSE,0,0,0,0,0,0,CC,20,121,21,19,648.3928571428571,2.142857142857143
64,73,FERNVALE LRT STATION,SW05,10,25,1.391885888,103.8762959,OTHERS,FALSE,0,0,0,0,0,0,SW,05,73,06,04,773.4642857142857,13.428571428571429
65,120,FORT CANNING MRT STATION,DT20,2,-9,1.292478928,103.8443255,BLUE,FALSE,0,0,0,0,0,0,DT,20,120,21,19,466.5,0.6428571428571429
66,98,GEYLANG BAHRU MRT STATION,DT24,9,1,1.321505838,103.8718904,BLUE,FALSE,0,0,0,0,0,0,DT,24,98,25,23,552.6785714285714,4.5
67,23,GUL CIRCLE MRT STATION,EW30,-48,0,1.319505215,103.6605988,GREEN,FALSE,0,0,0,0,0,0,EW,30,23,31,29,805.6785714285714,2.0357142857142856
