,YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,TOTAL_TRIPS_AGG,PROB_TRIP,CUMSUM
115315,2023-02,WEEKDAY,10,TRAIN,CC12,BP6/DT1,10,2474,0.004,0.004
115316,2023-02,WEEKDAY,10,TRAIN,CC12,CC10/DT26,18,2474,0.007,0.011
115317,2023-02,WEEKDAY,10,TRAIN,CC12,CC11,71,2474,0.029,0.04
115318,2023-02,WEEKDAY,10,TRAIN,CC12,CC14,29,2474,0.012,0.052000000000000005
115319,2023-02,WEEKDAY,10,TRAIN,CC12,CC16,21,2474,0.008,0.06
115320,2023-02,WEEKDAY,10,TRAIN,CC12,CC17/TE9,8,2474,0.003,0.063
115321,2023-02,WEEKDAY,10,TRAIN,CC12,CC19/DT9,40,2474,0.016,0.079
115322,2023-02,WEEKDAY,10,TRAIN,CC12,CC2,21,2474,0.008,0.087
115323,2023-02,WEEKDAY,10,TRAIN,CC12,CC20,5,2474,0.002,0.089
115324,2023-02,WEEKDAY,10,TRAIN,CC12,CC21,26,2474,0.011,0.1
115325,2023-02,WEEKDAY,10,TRAIN,CC12,CC23,48,2474,0.019,0.119
115326,2023-02,WEEKDAY,10,TRAIN,CC12,CC24,116,2474,0.047,0.166
115327,2023-02,WEEKDAY,10,TRAIN,CC12,CC25,3,2474,0.001,0.167
115328,2023-02,WEEKDAY,10,TRAIN,CC12,CC26,6,2474,0.002,0.169
115329,2023-02,WEEKDAY,10,TRAIN,CC12,CC27,8,2474,0.003,0.17200000000000001
115330,2023-02,WEEKDAY,10,TRAIN,CC12,CC28,2,2474,0.001,0.17300000000000001
115331,2023-02,WEEKDAY,10,TRAIN,CC12,CC3,38,2474,0.015,0.188
115332,2023-02,WEEKDAY,10,TRAIN,CC12,CC4/DT15,38,2474,0.015,0.203
115333,2023-02,WEEKDAY,10,TRAIN,CC12,CC5,14,2474,0.006,0.209
115334,2023-02,WEEKDAY,10,TRAIN,CC12,CC6,7,2474,0.003,0.212
115335,2023-02,WEEKDAY,10,TRAIN,CC12,CC7,10,2474,0.004,0.216
115336,2023-02,WEEKDAY,10,TRAIN,CC12,CC8,15,2474,0.006,0.222
115337,2023-02,WEEKDAY,10,TRAIN,CC12,CE1/DT16,29,2474,0.012,0.23399999999999999
115338,2023-02,WEEKDAY,10,TRAIN,CC12,CG1/DT35,22,2474,0.009,0.243
115339,2023-02,WEEKDAY,10,TRAIN,CC12,CG2,17,2474,0.007,0.25
115340,2023-02,WEEKDAY,10,TRAIN,CC12,DT13,18,2474,0.007,0.257
115341,2023-02,WEEKDAY,10,TRAIN,CC12,DT17,27,2474,0.011,0.268
115342,2023-02,WEEKDAY,10,TRAIN,CC12,DT18,6,2474,0.002,0.27
115343,2023-02,WEEKDAY,10,TRAIN,CC12,DT2,1,2474,0.0,0.27
115344,2023-02,WEEKDAY,10,TRAIN,CC12,DT20,3,2474,0.001,0.271
115345,2023-02,WEEKDAY,10,TRAIN,CC12,DT21,17,2474,0.007,0.278
115346,2023-02,WEEKDAY,10,TRAIN,CC12,DT22,6,2474,0.002,0.28
115347,2023-02,WEEKDAY,10,TRAIN,CC12,DT23,13,2474,0.005,0.285
115348,2023-02,WEEKDAY,10,TRAIN,CC12,DT24,5,2474,0.002,0.287
115349,2023-02,WEEKDAY,10,TRAIN,CC12,DT25,4,2474,0.002,0.289
115350,2023-02,WEEKDAY,10,TRAIN,CC12,DT27,15,2474,0.006,0.295
115351,2023-02,WEEKDAY,10,TRAIN,CC12,DT28,8,2474,0.003,0.298
115352,2023-02,WEEKDAY,10,TRAIN,CC12,DT29,1,2474,0.0,0.298
115353,2023-02,WEEKDAY,10,TRAIN,CC12,DT3,3,2474,0.001,0.299
115354,2023-02,WEEKDAY,10,TRAIN,CC12,DT30,2,2474,0.001,0.3
115355,2023-02,WEEKDAY,10,TRAIN,CC12,DT31,2,2474,0.001,0.301
115356,2023-02,WEEKDAY,10,TRAIN,CC12,DT33,7,2474,0.003,0.304
115357,2023-02,WEEKDAY,10,TRAIN,CC12,DT34,12,2474,0.005,0.309
115358,2023-02,WEEKDAY,10,TRAIN,CC12,DT5,6,2474,0.002,0.311
115359,2023-02,WEEKDAY,10,TRAIN,CC12,DT6,6,2474,0.002,0.313
115360,2023-02,WEEKDAY,10,TRAIN,CC12,DT8,2,2474,0.001,0.314
