,DAY_TYPE,TIME_PER_HOUR,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
0,WEEKDAY,0,TE10,EW14/NS26,1
1,WEEKDAY,0,NS19,TE10,1
2,WEEKDAY,0,NS18,TE10,1
3,WEEKDAY,0,CC7,TE10,4
4,WEEKDAY,0,TE10,TE14/NS22,2
5,WEEKDAY,0,TE10,NS12,2
6,WEEKDAY,0,TE10,NE12/CC13,1
7,WEEKDAY,0,TE10,NS23,1
8,WEEKDAY,0,TE10,NS9/TE2,1
9,WEEKDAY,0,TE10,NS13,3
10,WEEKDAY,0,CC11,TE10,2
11,WEEKDAY,0,CC12,TE10,4
12,WEEKDAY,0,TE10,NS20,1
13,WEEKDAY,0,EW3,TE10,1
14,WEEKDAY,0,TE10,DT1,1
15,WEEKDAY,0,TE10,EW12/DT14,2
16,WEEKDAY,5,NS7,TE10,4
17,WEEKDAY,5,NE14,TE10,3
18,WEEKDAY,5,TE10,EW8/CC9,1
19,WEEKDAY,5,EW8/CC9,TE10,1
20,WEEKDAY,5,EW24/NS1,TE10,34
21,WEEKDAY,5,TE10,CC10/DT26,1
22,WEEKDAY,5,EW14/NS26,TE10,1
23,WEEKDAY,5,TE10,EW14/NS26,1
24,WEEKDAY,5,EW12/DT14,TE10,7
25,WEEKDAY,5,TE10,EW12/DT14,1
26,WEEKDAY,5,EW26,TE10,47
27,WEEKDAY,5,TE10,CC4/DT15,1
28,WEEKDAY,5,EW20,TE10,38
29,WEEKDAY,5,NS2,TE10,2
30,WEEKDAY,5,NE13,TE10,21
31,WEEKDAY,5,DT33,TE10,1
32,WEEKDAY,5,TE10,DT33,1
33,WEEKDAY,5,DT29,TE10,1
34,WEEKDAY,5,EW3,TE10,31
35,WEEKDAY,5,TE10,NE12/CC13,8
36,WEEKDAY,5,NE12/CC13,TE10,2
37,WEEKDAY,5,NS12,TE10,31
38,WEEKDAY,5,TE10,NS12,7
39,WEEKDAY,5,NS20,TE10,1
40,WEEKDAY,5,EW17,TE10,91
41,WEEKDAY,5,TE10,EW16/NE3/TE17,1
42,WEEKDAY,5,PW5,TE10,4
43,WEEKDAY,5,TE10,PW5,2
44,WEEKDAY,5,TE10,NS9/TE2,2
45,WEEKDAY,5,NS9/TE2,TE10,46
46,WEEKDAY,5,TE10,CC6,30
47,WEEKDAY,5,TE10,NS11,3
48,WEEKDAY,5,NS11,TE10,98
49,WEEKDAY,5,EW18,TE10,7
50,WEEKDAY,5,EW25,TE10,39
51,WEEKDAY,5,TE10,NS24/NE6/CC1,1
52,WEEKDAY,5,CG2,TE10,4
53,WEEKDAY,5,NS5,TE10,49
54,WEEKDAY,5,NS18,TE10,45
55,WEEKDAY,5,NS14,TE10,140
56,WEEKDAY,5,TE10,EW32,1
57,WEEKDAY,5,TE10,EW28,1
58,WEEKDAY,5,EW28,TE10,44
59,WEEKDAY,5,EW19,TE10,49
60,WEEKDAY,5,NE9,TE10,1
61,WEEKDAY,5,NS21/DT11,TE10,3
62,WEEKDAY,5,NS4,TE10,36
63,WEEKDAY,5,NS19,TE10,37
64,WEEKDAY,5,EW10,TE10,13
65,WEEKDAY,5,NS13,TE10,318
66,WEEKDAY,5,TE10,NS13,4
67,WEEKDAY,5,EW5,TE10,92
