,YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,ORIGIN_PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
0,2023-02,WEEKDAY,0,TRAIN,DT10/TE11,34,162
1,2023-02,WEEKDAY,0,TRAIN,NS27/CE2/TE20,20,85
2,2023-02,WEEKDAY,0,TRAIN,EW19,31,309
3,2023-02,WEEKDAY,0,TRAIN,NS8,375,1697
4,2023-02,WEEKDAY,0,TRAIN,NE16/STC,280,2135
5,2023-02,WEEKDAY,0,TRAIN,NE17/PTC,230,1965
6,2023-02,WEEKDAY,0,TRAIN,EW14/NS26,299,76
7,2023-02,WEEKDAY,0,TRAIN,NS15,380,630
8,2023-02,WEEKDAY,0,TRAIN,CG2,56,89
10,2023-02,WEEKDAY,0,TRAIN,DT24,17,241
11,2023-02,WEEKDAY,0,TRAIN,NS18,113,877
13,2023-02,WEEKDAY,0,TRAIN,NE15,44,883
14,2023-02,WEEKDAY,0,TRAIN,EW17,27,405
15,2023-02,WEEKDAY,0,TRAIN,EW11,103,344
16,2023-02,WEEKDAY,0,TRAIN,NS13,811,4689
18,2023-02,WEEKDAY,0,TRAIN,NS2,311,1715
19,2023-02,WEEKDAY,0,TRAIN,CC19/DT9,99,192
20,2023-02,WEEKDAY,0,TRAIN,NS3,147,1312
21,2023-02,WEEKDAY,0,TRAIN,CC11,98,416
22,2023-02,WEEKDAY,0,TRAIN,NE13,106,726
23,2023-02,WEEKDAY,0,TRAIN,NS4/BP1,470,2365
24,2023-02,WEEKDAY,0,TRAIN,EW6,52,392
25,2023-02,WEEKDAY,0,TRAIN,CC10/DT26,85,565
26,2023-02,WEEKDAY,0,TRAIN,EW2/DT32,344,2642
27,2023-02,WEEKDAY,0,TRAIN,DT20,81,114
28,2023-02,WEEKDAY,0,TRAIN,NS10,464,4993
29,2023-02,WEEKDAY,0,TRAIN,CC23,42,87
30,2023-02,WEEKDAY,0,TRAIN,EW18,40,167
32,2023-02,WEEKDAY,0,TRAIN,NE11,15,111
33,2023-02,WEEKDAY,0,TRAIN,EW32,0,137
34,2023-02,WEEKDAY,0,TRAIN,TE19,3,9
35,2023-02,WEEKDAY,0,TRAIN,TE15,10,43
36,2023-02,WEEKDAY,0,TRAIN,EW33,0,126
38,2023-02,WEEKDAY,0,TRAIN,DT34,3,274
39,2023-02,WEEKDAY,0,TRAIN,TE13,22,28
40,2023-02,WEEKDAY,0,TRAIN,NS24/NE6/CC1,243,204
41,2023-02,WEEKDAY,0,TRAIN,DT29,34,429
43,2023-02,WEEKDAY,0,TRAIN,NS25/EW13,301,90
44,2023-02,WEEKDAY,0,TRAIN,EW3,50,1091
45,2023-02,WEEKDAY,0,TRAIN,CC17/TE9,21,323
46,2023-02,WEEKDAY,0,TRAIN,NE10,77,276
47,2023-02,WEEKDAY,0,TRAIN,NS5,223,2704
48,2023-02,WEEKDAY,0,TRAIN,NE1/CC29,22,190
50,2023-02,WEEKDAY,0,TRAIN,NS20,128,168
51,2023-02,WEEKDAY,0,TRAIN,TE12,0,7
53,2023-02,WEEKDAY,0,TRAIN,EW5,103,1298
55,2023-02,WEEKDAY,0,TRAIN,EW29,4,147
57,2023-02,WEEKDAY,0,TRAIN,DT13,86,174
58,2023-02,WEEKDAY,0,TRAIN,CC21,58,147
59,2023-02,WEEKDAY,0,TRAIN,CC16,46,248
60,2023-02,WEEKDAY,0,TRAIN,DT21,126,126
61,2023-02,WEEKDAY,0,TRAIN,CC5,28,46
63,2023-02,WEEKDAY,0,TRAIN,NE9,59,309
64,2023-02,WEEKDAY,0,TRAIN,TE3,26,575
65,2023-02,WEEKDAY,0,TRAIN,TE18,30,36
67,2023-02,WEEKDAY,0,TRAIN,EW8/CC9,322,920
68,2023-02,WEEKDAY,0,TRAIN,CC26,30,100
69,2023-02,WEEKDAY,0,TRAIN,NE4/DT19,145,535
70,2023-02,WEEKDAY,0,TRAIN,TE16,23,91
71,2023-02,WEEKDAY,0,TRAIN,TE22,6,3
72,2023-02,WEEKDAY,0,TRAIN,DT22,161,211
73,2023-02,WEEKDAY,0,TRAIN,EW7,96,594
74,2023-02,WEEKDAY,0,TRAIN,EW9,159,532
75,2023-02,WEEKDAY,0,TRAIN,TE14/NS22,228,202
76,2023-02,WEEKDAY,0,TRAIN,CC25,21,150
77,2023-02,WEEKDAY,0,TRAIN,DT5,66,634
78,2023-02,WEEKDAY,0,TRAIN,DT30,15,455
79,2023-02,WEEKDAY,0,TRAIN,NS17/CC15,361,1074
80,2023-02,WEEKDAY,0,TRAIN,DT17,95,41
81,2023-02,WEEKDAY,0,TRAIN,EW27,51,2822
82,2023-02,WEEKDAY,0,TRAIN,NE14,142,1613
83,2023-02,WEEKDAY,0,TRAIN,CC28,26,126
86,2023-02,WEEKDAY,0,TRAIN,TE6,39,411
87,2023-02,WEEKDAY,0,TRAIN,CC7,69,324
88,2023-02,WEEKDAY,0,TRAIN,EW23,170,1192
91,2023-02,WEEKDAY,0,TRAIN,EW26,24,2420
97,2023-02,WEEKDAY,0,TRAIN,DT18,130,47
98,2023-02,WEEKDAY,0,TRAIN,CC6,106,183
102,2023-02,WEEKDAY,0,TRAIN,EW1,5,2588
103,2023-02,WEEKDAY,0,TRAIN,EW31,4,42
106,2023-02,WEEKDAY,0,TRAIN,EW15,74,117
108,2023-02,WEEKDAY,0,TRAIN,DT2,4,142
109,2023-02,WEEKDAY,0,TRAIN,DT28,31,577
110,2023-02,WEEKDAY,0,TRAIN,CC4/DT15,114,104
111,2023-02,WEEKDAY,0,TRAIN,CC12,48,458
112,2023-02,WEEKDAY,0,TRAIN,NE7/DT12,106,292
113,2023-02,WEEKDAY,0,TRAIN,CC14,48,265
115,2023-02,WEEKDAY,0,TRAIN,TE1,2,209
117,2023-02,WEEKDAY,0,TRAIN,NS23,249,105
119,2023-02,WEEKDAY,0,TRAIN,CC24,51,58
121,2023-02,WEEKDAY,0,TRAIN,EW24/NS1,731,1515
122,2023-02,WEEKDAY,0,TRAIN,NE8,104,273
123,2023-02,WEEKDAY,0,TRAIN,DT6,15,219
124,2023-02,WEEKDAY,0,TRAIN,NS12,250,1481
125,2023-02,WEEKDAY,0,TRAIN,DT23,41,63
126,2023-02,WEEKDAY,0,TRAIN,CE1/DT16,526,274
127,2023-02,WEEKDAY,0,TRAIN,DT31,32,535
130,2023-02,WEEKDAY,0,TRAIN,EW20,30,231
133,2023-02,WEEKDAY,0,TRAIN,EW12/DT14,381,417
134,2023-02,WEEKDAY,0,TRAIN,NS14,840,3183
136,2023-02,WEEKDAY,0,TRAIN,CC8,131,360
137,2023-02,WEEKDAY,0,TRAIN,CC3,20,20
138,2023-02,WEEKDAY,0,TRAIN,TE4,43,77
139,2023-02,WEEKDAY,0,TRAIN,NS7,497,975
140,2023-02,WEEKDAY,0,TRAIN,DT8,6,110
141,2023-02,WEEKDAY,0,TRAIN,NS11,519,4195
142,2023-02,WEEKDAY,0,TRAIN,DT27,27,279
143,2023-02,WEEKDAY,0,TRAIN,NS9/TE2,1116,4582
144,2023-02,WEEKDAY,0,TRAIN,EW21/CC22,230,490
145,2023-02,WEEKDAY,0,TRAIN,CC27,35,50
