YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,DT10/TE11,7,75
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NS27/CE2/TE20,4,53
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,EW19,20,182
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NS8,443,777
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NE16/STC,121,916
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NE17/PTC,124,998
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,EW14/NS26,127,34
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NS15,114,323
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,CG2,26,28
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,SE5,11,75
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,DT24,9,117
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NS18,55,354
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,SE1,21,160
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NE15,18,453
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,EW17,16,145
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,EW11,33,138
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NS13,428,2404
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,SW5,37,339
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NS2,153,883
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,CC19/DT9,43,90
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NS3,64,705
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,CC11,22,183
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NE13,46,377
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NS4/BP1,264,1286
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,EW6,29,198
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,CC10/DT26,33,264
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,EW2/DT32,167,1324
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,DT20,35,54
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NS10,242,2250
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,CC23,8,43
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,EW18,24,136
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,SW3,4,113
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NE11,8,45
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,EW32,1,98
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,TE19,3,9
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,TE15,2,29
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,EW33,0,125
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,SW6,4,148
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,DT34,0,172
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,TE13,5,9
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NS24/NE6/CC1,111,94
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,DT29,13,224
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,SE2,8,248
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NS25/EW13,117,41
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,EW3,20,464
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,CC17/TE9,10,167
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NE10,28,143
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NS5,114,1370
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NE1/CC29,19,90
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,SW2,15,66
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NS20,60,73
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,TE12,0,5
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,PW1,4,4
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,EW5,52,708
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,SW7,3,107
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,EW29,1,96
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,SE3,7,137
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,DT13,52,75
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,CC21,40,82
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,CC16,14,113
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,DT21,47,54
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,CC5,10,19
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,PE4,10,50
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,NE9,35,172
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,TE3,10,284
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,TE18,10,19
2023-02,WEEKENDS/HOLIDAY,0,TRAIN,BP9,1,0
